label,top_left_y,top_left_x,bottom_left_x,bottom_left_y,width,top_right_x,top_right_y,bottom_right_x,bottom_right_y,height
MD_1658322068,1.0880788799574888,34.60688777268242,34.614197910243696,0.37803639812968104,1.0660122270187418,35.67284350859226,1.099053269889304,35.680153646153535,0.38901078806149636,0.7100801110518147
MD_1658322091,1.4175208938481851,34.63108846424004,34.63659522324763,0.7079560063859278,1.0652708231844035,35.69632720860863,1.4257879503985358,35.701833967616224,0.7162230629362785,0.7095862554433349
MD_1658322119,1.4145248870525438,34.90281711054598,34.90139067596889,0.7042818909862718,1.0662589095792914,35.96907386971582,1.412383443183673,35.96764743513873,0.7021404471174011,0.7102444284729005
MD_1658322142,1.080147631183829,34.90790571337223,34.90822353394206,0.36857207874391495,1.068257374349623,35.97616298116833,1.0806247613106468,35.97648080173816,0.36904920887073256,0.7115756234161507
MD_1658322164,0.7449386671480906,34.91063603172774,34.91097340024042,0.03086808360183063,1.072003068561318,35.98263898064455,0.7454451437469123,35.982976349157234,0.03137456020065216,0.7140706632425181
MD_1658322187,0.40838406769216706,34.897100495796096,34.90034302696394,-0.3045401183936124,1.0702929825268765,35.96738240832437,0.4132519379755426,35.97062493949221,-0.29967224811023685,0.712931559909116
MD_1658322213,0.39780055455958724,35.16429638009913,35.16825164792461,-0.3162102831288897,1.0719297013835571,36.236209635171654,0.40373842522723763,36.24016490299714,-0.3102724124612393,0.7140217927207627
MD_1658322236,0.7324771527613441,35.15125933547466,35.15336250428477,0.019993196789911405,1.0696256744235435,36.22088034977851,0.7356345481483756,36.22298351858862,0.02315059217694293,0.7124870601181092
MD_1658322259,1.0699924410391413,35.14924576343858,35.150947402616836,0.35901350864767495,1.0673646452500405,36.21660735163934,1.0725470375441915,36.2183089908176,0.36156810515272514,0.7109809687188555
MD_1658322282,1.4004050270613635,35.16919257557731,35.16881505974777,0.6892320391055369,1.0676530657606502,36.23684549091301,1.3998382790509332,36.23646797508347,0.6886652910951065,0.7111730881552113
